@RELATION pacman-data-training

	@ATTRIBUTE pacman_positionX NUMERIC
	@ATTRIBUTE pacman_positionY NUMERIC
	@ATTRIBUTE legal_north {0,1}
	@ATTRIBUTE legal_south {0,1}
	@ATTRIBUTE legal_east {0,1}
	@ATTRIBUTE legal_west {0,1}
	@ATTRIBUTE living_ghost1 {0,1}
	@ATTRIBUTE living_ghost2 {0,1}
	@ATTRIBUTE living_ghost3 {0,1}
	@ATTRIBUTE living_ghost4 {0,1}
	@ATTRIBUTE ghost1_positionX NUMERIC
	@ATTRIBUTE ghost1_positionY NUMERIC
	@ATTRIBUTE ghost2_positionX NUMERIC
	@ATTRIBUTE ghost2_positionY NUMERIC
	@ATTRIBUTE ghost3_positionX NUMERIC
	@ATTRIBUTE ghost3_positionY NUMERIC
	@ATTRIBUTE ghost4_positionX NUMERIC
	@ATTRIBUTE ghost4_positionY NUMERIC
	@ATTRIBUTE ghost1_distance NUMERIC
	@ATTRIBUTE ghost2_distance NUMERIC
	@ATTRIBUTE ghost3_distance NUMERIC
	@ATTRIBUTE ghost4_distance NUMERIC
	@ATTRIBUTE food_distance NUMERIC
	@ATTRIBUTE food_position_x NUMERIC
	@ATTRIBUTE food_position_y NUMERIC
	@ATTRIBUTE closest_food_dirx {West,East,North,South,Stop}
	@ATTRIBUTE closest_food_diry {West,East,North,South,Stop}
	@ATTRIBUTE score NUMERIC
	@ATTRIBUTE score_siguiente NUMERIC
	@ATTRIBUTE closest_ghost_x NUMERIC
	@ATTRIBUTE closest_ghost_y NUMERIC
	@ATTRIBUTE closest_ghost_distance NUMERIC
	@ATTRIBUTE closest_ghost_dirx {West,East,North,South,Stop}
	@ATTRIBUTE closest_ghost_diry {West,East,North,South,Stop}
	@ATTRIBUTE next_move {West,East,North,South,Stop}

@DATA
4,9,1,1,1,1,0,1,1,1,1,1,10,6,16,6,27,8,0,9,15,23,0,0,0,West,South,177,176,1,1,0,West,South,South
4,8,1,1,1,1,0,1,1,1,1,1,10,7,15,6,27,9,0,7,13,23,0,0,0,West,South,176,175,1,1,0,West,South,South
4,7,1,1,1,1,0,1,1,1,1,1,10,6,14,6,26,9,0,7,11,23,0,0,0,West,South,175,174,1,1,0,West,South,East
5,7,1,1,1,1,0,1,1,1,1,1,10,5,14,7,25,9,0,7,9,22,0,0,0,West,South,174,173,1,1,0,West,South,East
6,7,1,1,0,1,0,1,1,1,1,1,10,4,13,7,25,9,0,7,7,22,0,0,0,West,South,173,172,1,1,0,West,South,South
6,6,1,0,1,1,0,1,1,1,1,1,9,4,14,7,25,10,0,5,9,23,0,0,0,West,South,172,171,1,1,0,West,South,East
7,6,0,0,1,1,0,1,1,1,1,1,8,4,14,7,25,10,0,3,8,23,0,0,0,West,South,171,170,1,1,0,West,South,East
8,6,1,1,1,1,0,1,1,1,1,1,8,5,13,7,25,11,0,1,6,21,0,0,0,West,South,170,369,1,1,0,West,South,South
8,5,1,1,1,0,0,0,1,1,1,1,3,1,14,7,25,10,0,0,8,23,0,0,0,West,South,369,368,1,1,0,West,South,South
8,4,1,1,1,0,0,0,1,1,1,1,3,1,14,7,25,11,0,0,9,24,0,0,0,West,South,368,367,1,1,0,West,South,North
8,5,1,1,1,0,0,0,1,1,1,1,3,1,14,7,25,11,0,0,8,22,0,0,0,West,South,367,366,1,1,0,West,South,North
8,6,1,1,1,1,0,0,1,1,1,1,3,1,14,8,24,11,0,0,8,22,0,0,0,West,South,366,365,1,1,0,West,South,North
8,7,1,1,1,0,0,0,1,1,1,1,3,1,14,9,25,11,0,0,8,21,0,0,0,West,South,365,364,1,1,0,West,South,North
8,8,1,1,1,0,0,0,1,1,1,1,3,1,14,9,25,11,0,0,7,19,0,0,0,West,South,364,363,1,1,0,West,South,North
8,9,1,1,1,0,0,0,1,1,1,1,3,1,14,8,24,11,0,0,7,17,0,0,0,West,South,363,362,1,1,0,West,South,North
8,10,1,1,1,0,0,0,1,1,1,1,3,1,15,8,24,10,0,0,9,15,0,0,0,West,South,362,361,1,1,0,West,South,North
