@relation 'pacman-data-training-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A>0, ifelse(A>2, ifelse(A>5, ifelse(A>8, ifelse(A>12, ifelse(A>15, ifelse(A>18, 7, 6), 5), 4), 3), 2), 1), 0)-V-R1-2,11-18,24-25-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A>0, ifelse(A>5, ifelse(A>10, ifelse(A>15, ifelse(A>20, ifelse(A>25, ifelse(A>30, 7, 6), 5), 4), 3), 2), 1), 0)-V-R19-23,32-weka.filters.unsupervised.attribute.NumericToNominal-R1-2,11-25,32-weka.filters.unsupervised.attribute.Remove-R7-10,26-27,30-34'

@attribute pacman_positionX {0,1,2,3,4,5,6,7}
@attribute pacman_positionY {0,1,2,3,4,5,6,7}
@attribute legal_north {0,1}
@attribute legal_south {0,1}
@attribute legal_east {0,1}
@attribute legal_west {0,1}
@attribute ghost1_positionX {0,1,2,3,4,5,6,7}
@attribute ghost1_positionY {0,1,2,3,4,5,6,7}
@attribute ghost2_positionX {0,1,2,3,4,5,6,7}
@attribute ghost2_positionY {0,1,2,3,4,5,6,7}
@attribute ghost3_positionX {0,1,2,3,4,5,6,7}
@attribute ghost3_positionY {0,1,2,3,4,5,6,7}
@attribute ghost4_positionX {0,1,2,3,4,5,6,7}
@attribute ghost4_positionY {0,1,2,3,4,5,6,7}
@attribute ghost1_distance {0,1,2,3,4,5,6,7}
@attribute ghost2_distance {0,1,2,3,4,5,6,7}
@attribute ghost3_distance {0,1,2,3,4,5,6,7}
@attribute ghost4_distance {0,1,2,3,4,5,6,7}
@attribute food_distance {0,1,2,3,4,5,6,7}
@attribute food_position_x {0,1,2,3,4,5,6,7}
@attribute food_position_y {0,1,2,3,4,5,6,7}
@attribute score numeric
@attribute score_siguiente numeric
@attribute next_move {West,East,North,South,Stop}

@data
3,2,1,1,1,0,1,1,2,1,5,3,7,4,0,0,2,5,0,0,0,369,368,South
3,2,1,1,1,0,1,1,2,1,5,3,7,4,0,0,2,5,0,0,0,368,367,North
3,2,1,1,1,0,1,1,2,1,5,3,7,4,0,0,2,5,0,0,0,367,366,North
3,3,1,1,1,1,1,1,2,1,5,3,7,4,0,0,2,5,0,0,0,366,365,North
3,3,1,1,1,0,1,1,2,1,5,4,7,4,0,0,2,5,0,0,0,365,364,North
3,3,1,1,1,0,1,1,2,1,5,4,7,4,0,0,2,4,0,0,0,364,363,North
3,4,1,1,1,0,1,1,2,1,5,3,7,4,0,0,2,4,0,0,0,363,362,North
3,4,1,1,1,0,1,1,2,1,5,3,7,4,0,0,2,3,0,0,0,362,361,North
3,4,1,1,1,0,1,1,2,1,5,3,7,4,0,0,2,3,0,0,0,361,360,East
4,4,1,1,1,1,1,1,2,1,5,3,7,4,0,0,2,3,0,0,0,360,359,East
4,4,1,1,1,1,1,1,2,1,5,3,7,4,0,0,2,3,0,0,0,359,358,North
4,4,1,1,1,1,1,1,2,1,5,3,7,4,0,0,2,3,0,0,0,358,357,North
4,5,1,1,0,1,1,1,2,1,5,3,7,4,0,0,3,4,0,0,0,357,356,North
4,5,1,1,0,1,1,1,2,1,5,3,7,4,0,0,3,4,0,0,0,356,355,South
4,5,1,1,0,1,1,1,2,1,5,3,7,4,0,0,3,4,0,0,0,355,354,South
4,4,1,1,1,1,1,1,2,1,5,3,7,4,0,0,2,3,0,0,0,354,353,East
4,4,0,1,1,1,1,1,2,1,5,3,7,4,0,0,2,3,0,0,0,353,352,East
4,4,0,0,1,1,1,1,2,1,5,3,7,4,0,0,2,3,0,0,0,352,351,East
5,4,0,1,1,1,1,1,2,1,5,3,7,4,0,0,2,3,0,0,0,351,350,South
5,4,1,1,1,0,1,1,2,1,5,3,7,4,0,0,2,3,0,0,0,350,349,South
5,4,1,1,1,0,1,1,2,1,5,3,7,4,0,0,1,3,0,0,0,349,348,South
5,4,1,1,1,0,1,1,2,1,5,3,7,4,0,0,1,3,0,0,0,348,347,South
5,3,1,1,1,0,1,1,2,1,5,3,7,4,0,0,1,4,0,0,0,347,546,South
5,3,1,1,1,0,1,1,2,1,2,1,7,4,0,0,0,4,0,0,0,546,545,South
5,3,1,1,1,0,1,1,2,1,2,1,7,4,0,0,0,4,0,0,0,545,544,South
5,2,1,1,1,0,1,1,2,1,2,1,7,4,0,0,0,4,0,0,0,544,543,East
5,2,1,1,0,1,1,1,2,1,2,1,7,4,0,0,0,4,0,0,0,542,541,North
5,3,1,1,1,1,1,1,2,1,2,1,7,4,0,0,0,4,0,0,0,541,540,East
5,3,0,0,1,1,1,1,2,1,2,1,7,4,0,0,0,4,0,0,0,540,539,East
6,3,0,0,1,1,1,1,2,1,2,1,7,4,0,0,0,4,0,0,0,539,538,East
6,3,0,1,1,1,1,1,2,1,2,1,7,4,0,0,0,4,0,0,0,538,537,East
6,3,0,1,1,1,1,1,2,1,2,1,7,4,0,0,0,3,0,0,0,537,536,East
7,3,0,1,1,1,1,1,2,1,2,1,7,4,0,0,0,3,0,0,0,536,535,East
7,3,0,1,1,1,1,1,2,1,2,1,7,4,0,0,0,3,0,0,0,535,534,East
7,3,0,0,1,1,1,1,2,1,2,1,7,4,0,0,0,2,0,0,0,534,533,East
7,3,0,0,1,1,1,1,2,1,2,1,7,4,0,0,0,2,0,0,0,533,532,East
7,3,1,1,1,1,1,1,2,1,2,1,7,4,0,0,0,2,0,0,0,532,531,East
7,3,1,1,1,1,1,1,2,1,2,1,7,4,0,0,0,2,0,0,0,531,530,East
7,3,1,1,1,1,1,1,2,1,2,1,7,4,0,0,0,2,0,0,0,530,529,North
7,3,1,1,1,1,1,1,2,1,2,1,7,4,0,0,0,2,0,0,0,529,528,North
7,3,1,1,1,1,1,1,2,1,2,1,7,4,0,0,0,2,0,0,0,528,527,East
7,3,1,1,1,1,1,1,2,1,2,1,7,4,0,0,0,2,0,0,0,527,526,North
7,4,1,1,1,1,1,1,2,1,2,1,7,5,0,0,0,2,0,0,0,526,525,North
7,4,1,1,1,1,1,1,2,1,2,1,7,5,0,0,0,1,0,0,0,525,524,North
7,4,1,1,1,1,1,1,2,1,2,1,7,4,0,0,0,1,0,0,0,524,523,North
7,4,1,1,1,0,1,1,2,1,2,1,7,5,0,0,0,1,0,0,0,523,522,East
7,4,1,1,1,1,1,1,2,1,2,1,7,5,0,0,0,1,0,0,0,522,521,East
7,4,1,1,0,1,1,1,2,1,2,1,7,5,0,0,0,1,0,0,0,521,520,North
7,5,1,1,0,1,1,1,2,1,2,1,7,5,0,0,0,1,0,0,0,520,519,West
7,5,1,1,1,1,1,1,2,1,2,1,7,5,0,0,0,1,0,0,0,519,518,West
7,5,1,1,1,1,1,1,2,1,2,1,7,5,0,0,0,1,0,0,0,518,517,North
7,5,1,1,1,1,1,1,2,1,2,1,7,5,0,0,0,1,0,0,0,517,516,West
7,5,1,1,1,1,1,1,2,1,2,1,7,6,0,0,0,1,0,0,0,516,515,North
7,5,1,1,1,1,1,1,2,1,2,1,7,6,0,0,0,1,0,0,0,515,514,North
7,6,1,1,1,1,1,1,2,1,2,1,7,6,0,0,0,1,0,0,0,514,513,East
7,6,1,1,1,1,1,1,2,1,2,1,7,6,0,0,0,1,0,0,0,513,712,East
1,4,0,1,1,0,2,2,3,4,4,4,5,3,2,2,2,4,3,4,3,-1,-2,East
1,4,0,0,1,1,2,2,3,3,4,4,5,2,2,2,2,4,3,4,3,-2,-3,East
2,4,0,0,1,1,2,2,3,4,3,4,5,2,2,2,1,4,3,4,3,-3,-4,East
2,4,0,0,1,1,2,2,3,4,3,4,5,2,2,1,1,4,3,4,3,-4,-5,East
2,4,0,1,1,1,2,2,3,4,3,4,5,2,2,1,1,4,2,4,3,-5,-6,East
3,4,0,1,1,1,2,2,3,3,3,4,5,2,2,1,1,3,2,4,3,-6,-7,East
3,4,0,0,1,1,2,2,3,3,3,4,5,2,3,1,1,3,2,4,3,-7,192,East
3,4,0,0,1,1,2,2,3,3,2,1,5,2,3,1,0,3,2,4,3,192,191,East
