@relation pacman-data-training-weka.filters.unsupervised.attribute.Remove-R7-22

@attribute pacman_positionX numeric
@attribute pacman_positionY numeric
@attribute legal_north {0,1}
@attribute legal_south {0,1}
@attribute legal_east {0,1}
@attribute legal_west {0,1}
@attribute score numeric
@attribute next_move {West,East,North,South,Stop}

@data
10,9,1,1,1,1,652,Stop
10,9,1,1,1,1,652,East
11,9,1,0,1,1,651,Stop
11,9,1,0,1,1,651,Stop
11,9,1,0,1,1,651,Stop
11,9,1,0,1,1,651,East
11,9,1,0,1,1,651,East
12,9,0,1,1,1,650,Stop
12,9,0,1,1,1,650,Stop
12,9,0,1,1,1,650,Stop
12,9,0,1,1,1,650,West
12,9,0,1,1,1,650,South
12,8,1,1,1,0,649,Stop
12,8,1,1,1,0,649,Stop
12,8,1,1,1,0,649,Stop
12,8,1,1,1,0,649,Stop
12,8,1,1,1,0,649,South
