@relation 'pacman-data-training-weka.filters.unsupervised.attribute.Remove-R1-6,23'

@attribute living_ghost1 {0,1}
@attribute living_ghost2 {0,1}
@attribute living_ghost3 {0,1}
@attribute living_ghost4 {0,1}
@attribute ghost1_positionX numeric
@attribute ghost1_positionY numeric
@attribute ghost2_positionX numeric
@attribute ghost2_positionY numeric
@attribute ghost3_positionX numeric
@attribute ghost3_positionY numeric
@attribute ghost4_positionX numeric
@attribute ghost4_positionY numeric
@attribute ghost1_distance numeric
@attribute ghost2_distance numeric
@attribute ghost3_distance numeric
@attribute ghost4_distance numeric
@attribute next_move {West,East,North,South,Stop}

@data
0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,11,Stop
0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,11,Stop
0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,11,East
0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,12,East
0,0,0,1,1,1,3,1,5,1,14,9,0,0,0,11,Stop
0,0,0,1,1,1,3,1,5,1,14,9,0,0,0,11,Stop
0,0,0,1,1,1,3,1,5,1,14,9,0,0,0,11,Stop
0,0,0,1,1,1,3,1,5,1,14,9,0,0,0,11,West
0,0,0,1,1,1,3,1,5,1,14,9,0,0,0,10,East
0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,9,Stop
0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,9,Stop
0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,9,Stop
0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,9,Stop
0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,9,East
0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,8,Stop
0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,8,Stop
0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,8,Stop
0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,8,West
0,0,0,1,1,1,3,1,5,1,13,9,0,0,0,7,East
0,0,0,1,1,1,3,1,5,1,12,9,0,0,0,6,Stop
0,0,0,1,1,1,3,1,5,1,12,9,0,0,0,6,Stop
0,0,0,1,1,1,3,1,5,1,12,9,0,0,0,6,Stop
0,0,0,1,1,1,3,1,5,1,12,9,0,0,0,6,South
0,0,0,1,1,1,3,1,5,1,12,9,0,0,0,5,North
0,0,0,1,1,1,3,1,5,1,12,8,0,0,0,4,Stop
0,0,0,1,1,1,3,1,5,1,12,8,0,0,0,4,Stop
0,0,0,1,1,1,3,1,5,1,12,8,0,0,0,4,Stop
0,0,0,1,1,1,3,1,5,1,12,8,0,0,0,4,South
0,0,0,1,1,1,3,1,5,1,12,8,0,0,0,5,North
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,6,Stop
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,6,Stop
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,6,Stop
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,6,Stop
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,6,East
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,5,Stop
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,5,Stop
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,5,Stop
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,5,Stop
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,5,East
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,4,Stop
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,4,Stop
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,4,Stop
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,4,Stop
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,4,East
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,3,Stop
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,3,Stop
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,3,Stop
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,3,East
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,4,East
0,0,0,1,1,1,3,1,5,1,13,7,0,0,0,3,Stop
0,0,0,1,1,1,3,1,5,1,13,7,0,0,0,3,Stop
0,0,0,1,1,1,3,1,5,1,13,7,0,0,0,3,Stop
0,0,0,1,1,1,3,1,5,1,13,7,0,0,0,3,West
0,0,0,1,1,1,3,1,5,1,13,7,0,0,0,2,South
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,1,Stop
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,1,Stop
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,1,Stop
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,1,Stop
0,0,0,1,1,1,3,1,5,1,12,7,0,0,0,1,South
1,1,1,1,6,5,6,9,8,11,14,6,11,7,7,18,Stop
1,1,1,1,6,5,6,9,8,11,14,6,11,7,7,18,East
1,1,1,1,6,5,6,9,8,11,14,6,12,7,7,18,Stop
1,1,1,1,7,5,6,9,8,11,14,6,12,7,7,18,West
1,1,1,1,7,5,6,9,8,11,14,6,12,7,6,18,North
1,1,1,1,7,5,6,9,7,11,14,6,12,7,6,17,South
1,1,1,1,7,5,6,9,7,11,14,7,11,6,7,16,Stop
1,1,1,1,7,5,6,9,7,11,14,7,11,6,7,16,West
1,1,1,1,7,5,6,9,7,11,14,7,11,5,7,16,Stop
1,1,1,1,7,5,5,9,7,11,14,7,11,5,7,16,West
1,1,1,1,7,5,5,9,7,11,14,7,11,5,7,15,South
1,1,1,1,7,5,5,9,7,11,13,7,10,4,8,14,East
1,1,1,1,7,5,5,9,7,11,13,7,11,4,8,14,Stop
1,1,1,1,8,5,5,9,7,11,13,7,11,4,8,14,Stop
1,1,1,1,8,5,5,9,7,11,13,7,11,4,8,14,Stop
1,1,1,1,8,5,5,9,7,11,13,7,11,4,8,14,East
1,1,1,1,8,5,5,9,7,11,13,7,10,3,7,13,Stop
1,1,1,1,8,5,5,9,7,11,13,7,10,3,7,13,West
1,1,1,1,8,5,5,9,7,11,13,7,10,2,7,13,West
1,1,1,1,8,5,4,9,7,11,13,7,10,2,6,13,Stop
1,1,1,1,8,5,4,9,6,11,13,7,10,2,6,13,East
1,1,1,1,8,5,4,9,6,11,13,7,9,1,5,12,West
1,1,1,1,8,5,4,9,6,11,13,7,8,1,5,12,South
1,1,1,1,7,5,4,9,6,11,13,7,8,2,5,12,South
1,1,1,1,7,5,4,8,6,11,13,7,8,2,4,12,West
1,1,1,1,7,5,4,8,6,10,13,7,8,2,4,11,East
1,1,1,1,7,5,4,8,6,10,12,7,7,1,3,10,West
1,1,1,1,7,5,4,8,6,10,12,7,6,1,3,10,North
1,0,1,1,6,5,4,8,6,10,12,7,6,0,3,10,Stop
1,0,1,1,6,5,3,1,6,10,12,7,6,0,3,10,North
1,0,1,1,6,5,3,1,6,10,12,7,6,0,3,9,East
1,0,1,1,6,5,3,1,6,10,12,8,5,0,2,8,Stop
1,0,1,1,6,5,3,1,6,10,12,8,5,0,2,8,Stop
1,0,1,1,6,5,3,1,6,10,12,8,5,0,2,8,Stop
1,0,1,1,6,5,3,1,6,10,12,8,5,0,2,8,South
1,0,1,1,6,5,3,1,6,10,12,8,5,0,2,9,East
1,0,1,1,6,5,3,1,6,10,12,7,4,0,1,8,East
1,0,1,1,6,5,3,1,6,10,12,7,5,0,1,8,Stop
1,0,1,1,7,5,3,1,6,10,12,7,5,0,1,8,Stop
1,0,1,1,7,5,3,1,6,10,12,7,5,0,1,8,East
1,0,1,1,7,5,3,1,6,10,12,7,5,0,1,9,North
1,0,0,1,7,5,3,1,6,10,13,7,6,0,0,10,West
1,0,0,1,7,5,3,1,5,1,13,7,5,0,0,10,Stop
1,0,0,1,6,5,3,1,5,1,13,7,5,0,0,10,Stop
1,0,0,1,6,5,3,1,5,1,13,7,5,0,0,10,Stop
1,0,0,1,6,5,3,1,5,1,13,7,5,0,0,10,South
1,0,0,1,6,5,3,1,5,1,13,7,4,0,0,9,East
