@RELATION pacman-data-training

	@ATTRIBUTE pacman_positionX NUMERIC
	@ATTRIBUTE pacman_positionY NUMERIC
	@ATTRIBUTE legal_north {0,1}
	@ATTRIBUTE legal_south {0,1}
	@ATTRIBUTE legal_east {0,1}
	@ATTRIBUTE legal_west {0,1}
	@ATTRIBUTE living_ghost1 {0,1}
	@ATTRIBUTE living_ghost2 {0,1}
	@ATTRIBUTE living_ghost3 {0,1}
	@ATTRIBUTE living_ghost4 {0,1}
	@ATTRIBUTE ghost1_positionX NUMERIC
	@ATTRIBUTE ghost1_positionY NUMERIC
	@ATTRIBUTE ghost2_positionX NUMERIC
	@ATTRIBUTE ghost2_positionY NUMERIC
	@ATTRIBUTE ghost3_positionX NUMERIC
	@ATTRIBUTE ghost3_positionY NUMERIC
	@ATTRIBUTE ghost4_positionX NUMERIC
	@ATTRIBUTE ghost4_positionY NUMERIC
	@ATTRIBUTE ghost1_distance NUMERIC
	@ATTRIBUTE ghost2_distance NUMERIC
	@ATTRIBUTE ghost3_distance NUMERIC
	@ATTRIBUTE ghost4_distance NUMERIC
	@ATTRIBUTE score NUMERIC
	@ATTRIBUTE next_move {West,East,North,South,Stop}

@DATA
8,8,1,1,1,1,1,0,0,1,1,5,3,1,5,1,14,10,11,0,0,8,379,Stop
8,8,1,1,1,1,1,0,0,1,1,4,3,1,5,1,14,10,11,0,0,8,379,Stop
8,8,1,1,1,1,1,0,0,1,1,4,3,1,5,1,14,10,11,0,0,8,379,South
8,8,1,1,1,1,1,0,0,1,1,4,3,1,5,1,14,10,11,0,0,7,379,East
9,8,1,1,1,1,1,0,0,1,1,4,3,1,5,1,14,9,12,0,0,6,378,East
9,8,1,1,1,1,1,0,0,1,1,4,3,1,5,1,14,9,11,0,0,6,378,Stop
9,8,1,1,1,1,1,0,0,1,2,4,3,1,5,1,14,9,11,0,0,6,378,Stop
9,8,1,1,1,1,1,0,0,1,2,4,3,1,5,1,14,9,11,0,0,6,378,North
9,8,1,1,1,1,1,0,0,1,2,4,3,1,5,1,14,9,11,0,0,7,378,East
10,8,1,1,0,1,1,0,0,1,2,4,3,1,5,1,14,10,12,0,0,6,377,Stop
10,8,1,1,0,1,1,0,0,1,2,4,3,1,5,1,14,10,12,0,0,6,377,Stop
10,8,1,1,0,1,1,0,0,1,2,4,3,1,5,1,14,10,12,0,0,6,377,Stop
10,8,1,1,0,1,1,0,0,1,2,4,3,1,5,1,14,10,12,0,0,6,377,North
10,8,1,1,0,1,1,0,0,1,2,4,3,1,5,1,14,10,12,0,0,7,377,South
10,7,1,1,0,1,1,0,0,1,2,4,3,1,5,1,14,11,11,0,0,8,376,Stop
10,7,1,1,0,1,1,0,0,1,2,4,3,1,5,1,14,11,11,0,0,8,376,Stop
10,7,1,1,0,1,1,0,0,1,2,4,3,1,5,1,14,11,11,0,0,8,376,Stop
10,7,1,1,0,1,1,0,0,1,2,4,3,1,5,1,14,11,11,0,0,8,376,Stop
10,7,1,1,0,1,1,0,0,1,2,4,3,1,5,1,14,11,11,0,0,8,376,South
10,6,1,1,0,1,1,0,0,1,2,4,3,1,5,1,14,11,10,0,0,9,475,North
10,6,1,1,0,1,1,0,0,1,2,4,3,1,5,1,14,11,9,0,0,9,475,Stop
10,6,1,1,0,1,1,0,0,1,2,5,3,1,5,1,14,11,9,0,0,9,475,Stop
